Animal,Exclude,Notes,Histology,Sex,DOB,SurgeryDate,Virus,Source,Group,Target,LD1,LD2,LD3,LD4,Trec1,Trec2,NS
44,0,,,M,2/6/14,4/23/24,HM4D,BLA,HM4D: BLA,AHN,cno,veh,veh,cno,cno,veh,cno
45,0,,,M,2/6/14,4/23/24,HM4D,LS,HM4D: LS,AHN,veh,cno,cno,veh,cno,veh,cno
46,0,,,M,2/6/14,4/23/24,HM4D,BLA,HM4D: BLA,AHN,cno,veh,veh,cno,veh,cno,cno
47,0,,,M,2/6/14,4/23/24,HM4D,LS,HM4D: LS,AHN,cno,veh,veh,cno,veh,cno,cno
48,0,,,M,2/6/14,4/20/24,mCherry,BLA,mCherry,AHN,cno,veh,veh,cno,cno,veh,cno
49,1,,Expression all but non-existant on one side,M,2/6/14,4/23/24,HM4D,BLA,HM4D: BLA,AHN,cno,veh,veh,cno,veh,cno,cno
50,0,,,M,2/6/14,4/24/24,HM4D,BLA,HM4D: BLA,AHN,veh,cno,cno,veh,cno,veh,cno
51,1,,unlateral expression,M,2/6/14,4/24/24,HM4D,vHC,HM4D: vHC,AHN,cno,veh,veh,cno,veh,cno,cno
52,0,,,M,2/6/14,4/24/24,HM4D,vHC,HM4D: vHC,AHN,veh,cno,cno,veh,cno,veh,cno
53,0,,,M,2/6/14,4/24/24,mCherry,BLA,mCherry,AHN,cno,veh,veh,cno,cno,veh,cno
54,0,,,M,2/6/14,4/24/24,HM4D,LS,HM4D: LS,AHN,cno,veh,veh,cno,veh,cno,cno
55,1,,Unilateral,M,2/6/14,4/24/24,HM4D,LS,HM4D: LS,AHN,cno,veh,veh,cno,cno,veh,cno
56,1,,Expression all but non-existant on one side,M,2/6/14,4/24/24,HM4D,BLA,HM4D: BLA,AHN,cno,veh,veh,cno,cno,veh,cno
57,1,,Expression all but non-existant on one side,M,2/6/14,4/24/24,HM4D,BLA,HM4D: BLA,AHN,veh,cno,cno,veh,veh,cno,cno
58,0,,,M,2/6/14,4/24/24,mCherry,vHC,mCherry,AHN,veh,cno,cno,veh,cno,veh,cno
59,0,,,M,2/6/14,4/24/24,HM4D,LS,HM4D: LS,AHN,veh,cno,cno,veh,cno,veh,cno
60,1,,unilateral in vHC,M,2/6/14,4/24/24,HM4D,vHC,HM4D: vHC,AHN,cno,veh,veh,cno,cno,veh,cno
