index,animal,dob,sex,trauma,mildstressor,group,annotation_labels,annotation_names,annotation_abrv,parent_labels,parent_names,graph_order,count,gray,parcellation_group,volumes,count_vox
17,ms_01,4/21/20,M,Trauma,None,Control,1125,"Orbital area, ventrolateral part, layer 5",ORBvl5,746,"Orbital area, ventrolateral part",275,56,1.0,cortical_plate,15049,0.0037211774868762043
18,ms_01,4/21/20,M,Trauma,None,Control,266,"Lateral septal nucleus, ventral part",LSv,242,Lateral septal nucleus,589,56,1.0,cerebral_nuclei,7287,0.007684918347742555
19,ms_01,4/21/20,M,Trauma,None,Control,206,Nucleus raphe magnus,RM,379,"Medulla, behavioral state related",994,57,1.0,hindbrain,8135,0.007006760909649662
20,ms_01,4/21/20,M,Trauma,None,Control,401,"Anteromedial visual area, layer 4",VISam4,394,Anteromedial visual area,174,57,1.0,cortical_plate,5000,0.0114
21,ms_01,4/21/20,M,Trauma,None,Control,959,"Ventral auditory area, layer 1",AUDv1,1018,Ventral auditory area,151,57,1.0,cortical_plate,18862,0.003021948891952073
22,ms_01,4/21/20,M,Trauma,None,Control,878,"Primary somatosensory area, mouth, layer 1",SSp-m1,345,"Primary somatosensory area, mouth",73,59,1.0,cortical_plate,50816,0.001161051637279597
23,ms_01,4/21/20,M,Trauma,None,Control,981,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,329,"Primary somatosensory area, barrel field",52,59,1.0,cortical_plate,35823,0.001646986572872177
24,ms_01,4/21/20,M,Trauma,None,Control,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,467,Hypothalamic medial zone,778,61,1.0,diencephalon,3051,0.019993444772205833
25,ms_01,4/21/20,M,Trauma,None,Control,1049,Flocculus,FL,1073,Hemispheric regions,1072,61,1.0,cerebellum,84339,0.000723271558828063
26,ms_01,4/21/20,M,Trauma,None,Control,608,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,746,"Orbital area, ventrolateral part",276,62,1.0,cortical_plate,9998,0.00620124024804961
27,ms_01,4/21/20,M,Trauma,None,Control,501,"posteromedial visual area, layer 4",VISpm4,533,posteromedial visual area,202,55,1.0,cortical_plate,7169,0.007671920769981866
28,ms_01,4/21/20,M,Trauma,None,Control,72,Anterodorsal preoptic nucleus,ADP,141,Periventricular region,735,45,1.0,diencephalon,2188,0.02056672760511883
29,ms_01,4/21/20,M,Trauma,None,Control,1044,Peripeduncular nucleus,PP,864,"Thalamus, sensory-motor cortex related",656,44,1.0,diencephalon,2799,0.015719899964272956
30,ms_01,4/21/20,M,Trauma,None,Control,897,"Visceral area, layer 1",VISC1,677,Visceral area,115,44,1.0,cortical_plate,18373,0.002394818483644478
31,ms_01,4/21/20,M,Trauma,None,Control,661,Facial motor nucleus,VII,370,"Medulla, motor related",950,33,1.0,hindbrain,51799,0.0006370779358674878
32,ms_01,4/21/20,M,Trauma,None,Control,1010,"Visceral area, layer 4",VISC4,677,Visceral area,117,33,1.0,cortical_plate,12560,0.002627388535031847
33,ms_01,4/21/20,M,Trauma,None,Control,540,"Perirhinal area, layer 1",PERI1,922,Perirhinal area,370,35,1.0,cortical_plate,29487,0.0011869637467358497
34,ms_01,4/21/20,M,Trauma,None,Control,318,Supragenual nucleus,SG,987,"Pons, motor related",898,35,1.0,hindbrain,1128,0.03102836879432624
35,ms_01,4/21/20,M,Trauma,None,Control,271,Nucleus sagulum,SAG,339,"Midbrain, sensory related",813,35,1.0,midbrain,5980,0.005852842809364548
37,ms_01,4/21/20,M,Trauma,None,Control,996,"Agranular insular area, dorsal part, layer 1",AId1,104,"Agranular insular area, dorsal part",280,35,1.0,cortical_plate,40001,0.0008749781255468613
38,ms_01,4/21/20,M,Trauma,None,Control,484,"Orbital area, medial part, layer 1",ORBm1,731,"Orbital area, medial part",265,35,1.0,cortical_plate,19533,0.0017918394511851738
39,ms_01,4/21/20,M,Trauma,None,Control,223,Arcuate hypothalamic nucleus,ARH,157,Periventricular zone,733,36,1.0,diencephalon,15693,0.0022940164404511567
40,ms_01,4/21/20,M,Trauma,None,Control,575,Central lateral nucleus of the thalamus,CL,51,Intralaminar nuclei of the dorsal thalamus,700,36,1.0,diencephalon,15427,0.0023335710118623193
41,ms_01,4/21/20,M,Trauma,None,Control,836,Ectorhinal area/Layer 1,ECT1,895,Ectorhinal area,374,36,1.0,cortical_plate,25197,0.0014287415168472437
42,ms_01,4/21/20,M,Trauma,None,Control,1030,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,337,"Primary somatosensory area, lower limb",66,37,1.0,cortical_plate,13610,0.002718589272593681
43,ms_01,4/21/20,M,Trauma,None,Control,869,"Posterolateral visual area, layer 4",VISpl4,425,Posterolateral visual area,195,37,1.0,cortical_plate,3003,0.012321012321012322
44,ms_01,4/21/20,M,Trauma,None,Control,1114,"Anterolateral visual area, layer 4",VISal4,402,Anterolateral visual area,167,38,1.0,cortical_plate,4975,0.00763819095477387
45,ms_01,4/21/20,M,Trauma,None,Control,127,Anteromedial nucleus,AM,239,Anterior group of the dorsal thalamus,676,39,1.0,diencephalon,21509,0.001813194476730671
46,ms_01,4/21/20,M,Trauma,None,Control,170,Dorsal part of the lateral geniculate complex,LGd,1008,"Geniculate group, dorsal thalamus",662,40,1.0,diencephalon,46211,0.0008655947718075783
47,ms_01,4/21/20,M,Trauma,None,Control,460,Midbrain trigeminal nucleus,MEV,339,"Midbrain, sensory related",815,40,1.0,midbrain,2226,0.017969451931716084
48,ms_01,4/21/20,M,Trauma,None,Control,804,Fields of Forel,FF,797,Zona incerta,800,40,1.0,diencephalon,3662,0.010922992900054615
49,ms_01,4/21/20,M,Trauma,None,Control,910,"Orbital area, medial part, layer 6a",ORBm6a,731,"Orbital area, medial part",269,41,1.0,cortical_plate,6524,0.006284488044144696
50,ms_01,4/21/20,M,Trauma,None,Control,186,Lateral habenula,LH,958,Epithalamus,713,41,1.0,diencephalon,20631,0.001987300664049246
51,ms_01,4/21/20,M,Trauma,None,Control,573,"Lateral visual area, layer 4",VISl4,409,Lateral visual area,181,41,1.0,cortical_plate,7752,0.005288957688338493
52,ms_01,4/21/20,M,Trauma,None,Control,957,Uvula (IX),UVU,645,Vermal regions,1038,41,1.0,cerebellum,140142,0.0002925604030197942
53,ms_01,4/21/20,M,Trauma,None,Control,448,"Orbital area, lateral part, layer 1",ORBl1,723,"Orbital area, lateral part",259,42,1.0,cortical_plate,17882,0.0023487305670506654
54,ms_01,4/21/20,M,Trauma,None,Control,622,"Retrosplenial area, ventral part, layer 6b",RSPv6b,886,"Retrosplenial area, ventral part",338,42,1.0,cortical_plate,5614,0.007481296758104738
55,ms_01,4/21/20,M,Trauma,None,Control,598,"Ventral auditory area, layer 6b",AUDv6b,1018,Ventral auditory area,156,43,1.0,cortical_plate,4998,0.00860344137655062
56,ms_01,4/21/20,M,Trauma,None,Control,1081,"Infralimbic area, layer 6b",ILA6b,44,Infralimbic area,251,44,1.0,cortical_plate,6116,0.007194244604316547
57,ms_01,4/21/20,M,Trauma,None,Control,114,"Superior olivary complex, lateral part",SOCl,398,Superior olivary complex,889,44,1.0,hindbrain,12408,0.0035460992907801418
58,ms_01,4/21/20,M,Trauma,None,Control,616,Cuneiform nucleus,CUN,323,"Midbrain, motor related",845,62,1.0,midbrain,18893,0.003281638702164823
59,ms_01,4/21/20,M,Trauma,None,Control,12,Interfascicular nucleus raphe,IF,165,Midbrain raphe nuclei,861,62,1.0,midbrain,2156,0.0287569573283859
60,ms_01,4/21/20,M,Trauma,None,Control,136,Intermediate reticular nucleus,IRN,370,"Medulla, motor related",961,62,1.0,hindbrain,153949,0.00040273077447726196
61,ms_01,4/21/20,M,Trauma,None,Control,706,Olivary pretectal nucleus,OP,1100,Pretectal region,841,64,1.0,midbrain,5117,0.012507328512800469
62,ms_01,4/21/20,M,Trauma,None,Control,272,Anteroventral periventricular nucleus,AVPV,141,Periventricular region,738,86,1.0,diencephalon,4375,0.019657142857142856
63,ms_01,4/21/20,M,Trauma,None,Control,173,Retrochiasmatic area,RCH,290,Hypothalamic lateral zone,795,87,1.0,diencephalon,16634,0.005230251292533366
64,ms_01,4/21/20,M,Trauma,None,Control,1045,Ectorhinal area/Layer 6b,ECT6b,895,Ectorhinal area,378,88,1.0,cortical_plate,6388,0.013775829680651221
65,ms_01,4/21/20,M,Trauma,None,Control,1109,Parastrial nucleus,PS,141,Periventricular region,747,89,1.0,diencephalon,1720,0.051744186046511625
66,ms_01,4/21/20,M,Trauma,None,Control,118,"Periventricular hypothalamic nucleus, intermediate part",PVi,157,Periventricular zone,732,89,1.0,diencephalon,6785,0.013117170228445099
67,ms_01,4/21/20,M,Trauma,None,Control,263,Anteroventral preoptic nucleus,AVP,141,Periventricular region,737,90,1.0,diencephalon,4181,0.021525950729490553
68,ms_01,4/21/20,M,Trauma,None,Control,968,Nodulus (X),NOD,645,Vermal regions,1042,91,1.0,cerebellum,80661,0.0011281784257571813
69,ms_01,4/21/20,M,Trauma,None,Control,693,Ventromedial hypothalamic nucleus,VMH,467,Hypothalamic medial zone,783,92,1.0,diencephalon,29872,0.0030798071772897696
70,ms_01,4/21/20,M,Trauma,None,Control,217,Superior vestibular nucleus,SUV,701,Vestibular nuclei,988,92,1.0,hindbrain,22710,0.004051078819903127
71,ms_01,4/21/20,M,Trauma,None,Control,100,Interpeduncular nucleus,IPN,165,Midbrain raphe nuclei,862,94,1.0,midbrain,22723,0.004136777714210271
72,ms_01,4/21/20,M,Trauma,None,Control,280,Barrington's nucleus,B,987,"Pons, motor related",891,94,1.0,hindbrain,2272,0.04137323943661972
73,ms_01,4/21/20,M,Trauma,None,Control,786,"Temporal association areas, layer 6b",TEa6b,541,Temporal association areas,366,96,1.0,cortical_plate,8572,0.011199253383107793
74,ms_01,4/21/20,M,Trauma,None,Control,281,"Anteromedial visual area, layer 1",VISam1,394,Anteromedial visual area,172,96,1.0,cortical_plate,8083,0.01187677842385253
75,ms_01,4/21/20,M,Trauma,None,Control,414,"Subparafascicular nucleus, magnocellular part",SPFm,406,Subparafascicular nucleus,653,96,1.0,diencephalon,5070,0.01893491124260355
76,ms_01,4/21/20,M,Trauma,None,Control,292,Bed nucleus of the accessory olfactory tract,BA,278,Striatum-like amygdalar nuclei,594,97,1.0,cerebral_nuclei,4769,0.02033969385615433
77,ms_01,4/21/20,M,Trauma,None,Control,120,"Agranular insular area, posterior part, layer 1",AIp1,111,"Agranular insular area, posterior part",286,98,1.0,cortical_plate,31189,0.003142133444483632
78,ms_01,4/21/20,M,Trauma,None,Control,243,"Dorsal auditory area, layer 6b",AUDd6b,1011,Dorsal auditory area,128,98,1.0,cortical_plate,10217,0.009591856709405893
79,ms_01,4/21/20,M,Trauma,None,Control,305,"Primary visual area, layer 6b",VISp6b,385,Primary visual area,191,98,1.0,cortical_plate,10335,0.009482341557813256
80,ms_01,4/21/20,M,Trauma,None,Control,358,Sublaterodorsal nucleus,SLD,1117,"Pons, behavioral state related",917,99,1.0,hindbrain,4961,0.019955654101995565
81,ms_01,4/21/20,M,Trauma,None,Control,805,"posteromedial visual area, layer 1",VISpm1,533,posteromedial visual area,200,99,1.0,cortical_plate,11155,0.008874943971313312
82,ms_01,4/21/20,M,Trauma,None,Control,1004,Ventral premammillary nucleus,PMv,467,Hypothalamic medial zone,777,100,1.0,diencephalon,5630,0.017761989342806393
83,ms_01,4/21/20,M,Trauma,None,Control,1046,"Anteromedial visual area, layer 6a",VISam6a,394,Anteromedial visual area,176,103,1.0,cortical_plate,9415,0.010939989378651089
84,ms_01,4/21/20,M,Trauma,None,Control,27,Intergeniculate leaflet of the lateral geniculate complex,IGL,1014,"Geniculate group, ventral thalamus",705,104,1.0,diencephalon,4556,0.0228270412642669
85,ms_01,4/21/20,M,Trauma,None,Control,1052,Pedunculopontine nucleus,PPN,348,"Midbrain, behavioral state related",859,104,1.0,midbrain,29476,0.0035282942054552856
86,ms_01,4/21/20,M,Trauma,None,Control,377,"Posterolateral visual area, layer 6a",VISpl6a,425,Posterolateral visual area,197,104,1.0,cortical_plate,9301,0.01118159337705623
87,ms_01,4/21/20,M,Trauma,None,Control,307,Magnocellular reticular nucleus,MARN,370,"Medulla, motor related",967,105,1.0,hindbrain,41122,0.002553377754000292
88,ms_01,4/21/20,M,Trauma,None,Control,1005,"Primary auditory area, layer 6b",AUDp6b,1002,Primary auditory area,142,106,1.0,cortical_plate,6090,0.017405582922824302
89,ms_01,4/21/20,M,Trauma,None,Control,1086,"Primary somatosensory area, trunk, layer 4",SSp-tr4,361,"Primary somatosensory area, trunk",89,86,1.0,cortical_plate,6378,0.013483850736908122
90,ms_01,4/21/20,M,Trauma,None,Control,30,"Periventricular hypothalamic nucleus, anterior part",PVa,157,Periventricular zone,731,32,1.0,diencephalon,816,0.0392156862745098
91,ms_01,4/21/20,M,Trauma,None,Control,704,"Agranular insular area, ventral part, layer 1",AIv1,119,"Agranular insular area, ventral part",292,85,1.0,cortical_plate,30945,0.002746808854419131
92,ms_01,4/21/20,M,Trauma,None,Control,214,Red nucleus,RN,323,"Midbrain, motor related",846,84,1.0,midbrain,41425,0.002027761013880507
93,ms_01,4/21/20,M,Trauma,None,Control,169,Nucleus prepositus,PRP,154,Perihypoglossal nuclei,979,64,1.0,hindbrain,10012,0.006392329204954055
94,ms_01,4/21/20,M,Trauma,None,Control,978,"Paragigantocellular reticular nucleus, lateral part",PGRNl,938,Paragigantocellular reticular nucleus,975,64,1.0,hindbrain,42251,0.001514757047170481
95,ms_01,4/21/20,M,Trauma,None,Control,1022,"Globus pallidus, external segment",GPe,818,"Pallidum, dorsal region",610,64,1.0,cerebral_nuclei,103116,0.0006206602273168083
96,ms_01,4/21/20,M,Trauma,None,Control,581,Triangular nucleus of septum,TRS,826,"Pallidum, medial region",619,65,1.0,cerebral_nuclei,13836,0.004697889563457647
97,ms_01,4/21/20,M,Trauma,None,Control,255,Anteroventral nucleus of thalamus,AV,239,Anterior group of the dorsal thalamus,675,68,1.0,diencephalon,26109,0.0026044658929870925
98,ms_01,4/21/20,M,Trauma,None,Control,903,External cuneate nucleus,ECU,386,"Medulla, sensory related",929,70,1.0,hindbrain,5822,0.01202335967021642
99,ms_01,4/21/20,M,Trauma,None,Control,368,"Perirhinal area, layer 6b",PERI6b,922,Perirhinal area,369,70,1.0,cortical_plate,5078,0.013784954706577392
100,ms_01,4/21/20,M,Trauma,None,Control,91,Interposed nucleus,IP,519,Cerebellar nuclei,1081,70,1.0,cerebellum,55207,0.0012679551506149583
101,ms_01,4/21/20,M,Trauma,None,Control,630,"Orbital area, lateral part, layer 5",ORBl5,723,"Orbital area, lateral part",261,71,1.0,cortical_plate,30371,0.0023377564123670605
102,ms_01,4/21/20,M,Trauma,None,Control,1041,Paraflocculus,PFL,1073,Hemispheric regions,1068,71,1.0,cerebellum,356892,0.0001989397352700537
103,ms_01,4/21/20,M,Trauma,None,Control,234,"Temporal association areas, layer 4",TEa4,541,Temporal association areas,363,71,1.0,cortical_plate,14555,0.004878048780487805
104,ms_01,4/21/20,M,Trauma,None,Control,171,"Prelimbic area, layer 1",PL1,972,Prelimbic area,239,72,1.0,cortical_plate,30765,0.002340321794246709
105,ms_01,4/21/20,M,Trauma,None,Control,1031,"Globus pallidus, internal segment",GPi,818,"Pallidum, dorsal region",611,73,1.0,cerebral_nuclei,27122,0.0026915419216871914
106,ms_01,4/21/20,M,Trauma,None,Control,601,"Anterolateral visual area, layer 6a",VISal6a,402,Anterolateral visual area,169,73,1.0,cortical_plate,7715,0.009462086843810759
107,ms_01,4/21/20,M,Trauma,None,Control,707,"Infralimbic area, layer 1",ILA1,44,Infralimbic area,246,74,1.0,cortical_plate,17329,0.004270298343816723
108,ms_01,4/21/20,M,Trauma,None,Control,1048,Gigantocellular reticular nucleus,GRN,370,"Medulla, motor related",958,76,1.0,hindbrain,121816,0.0006238917711959021
109,ms_01,4/21/20,M,Trauma,None,Control,180,"Gustatory areas, layer 2/3",GU2/3,1057,Gustatory areas,109,76,1.0,cortical_plate,43435,0.001749740992287326
110,ms_01,4/21/20,M,Trauma,None,Control,1061,Posterior pretectal nucleus,PPT,1100,Pretectal region,842,77,1.0,midbrain,4278,0.017999064983637212
111,ms_01,4/21/20,M,Trauma,None,Control,511,"Superior colliculus, motor related, intermediate gray layer, sublayer c",SCig-c,10,"Superior colliculus, motor related, intermediate gray layer",831,77,1.0,midbrain,4918,0.0156567710451403
112,ms_01,4/21/20,M,Trauma,None,Control,969,"Orbital area, ventrolateral part, layer 1",ORBvl1,746,"Orbital area, ventrolateral part",273,78,1.0,cortical_plate,25156,0.0031006519319446654
113,ms_01,4/21/20,M,Trauma,None,Control,470,Subthalamic nucleus,STN,290,Hypothalamic lateral zone,796,80,1.0,diencephalon,11971,0.00668281680728427
114,ms_01,4/21/20,M,Trauma,None,Control,260,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,619,Nucleus of the lateral olfactory tract,423,80,1.0,cortical_plate,10457,0.007650377737400784
115,ms_01,4/21/20,M,Trauma,None,Control,50,Precommissural nucleus,PRC,795,Periaqueductal gray,833,81,1.0,midbrain,5291,0.015309015309015309
116,ms_01,4/21/20,M,Trauma,None,Control,791,"Posterior auditory area, layer 5",AUDpo5,1027,Posterior auditory area,147,82,1.0,cortical_plate,3728,0.021995708154506438
117,ms_01,4/21/20,M,Trauma,None,Control,990,"Ventral auditory area, layer 4",AUDv4,1018,Ventral auditory area,153,82,1.0,cortical_plate,16821,0.004874858807443077
118,ms_01,4/21/20,M,Trauma,None,Control,527,"Dorsal auditory area, layer 1",AUDd1,1011,Dorsal auditory area,123,83,1.0,cortical_plate,29577,0.002806234574162356
119,ms_01,4/21/20,M,Trauma,None,Control,1062,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,329,"Primary somatosensory area, barrel field",57,84,1.0,cortical_plate,14293,0.00587700272860841
120,ms_01,4/21/20,M,Trauma,None,Control,679,Superior central nucleus raphe,CS,1117,"Pons, behavioral state related",908,84,1.0,hindbrain,43388,0.0019360191758089795
121,ms_01,4/21/20,M,Trauma,None,Control,783,"Agranular insular area, dorsal part, layer 6a",AId6a,104,"Agranular insular area, dorsal part",283,108,1.0,cortical_plate,19039,0.005672566836493513
122,ms_01,4/21/20,M,Trauma,None,Control,944,Folium-tuber vermis (VII),FOTU,645,Vermal regions,1030,31,1.0,cerebellum,58946,0.0005259050656533098
123,ms_01,4/21/20,M,Trauma,None,Control,105,"Superior olivary complex, medial part",SOCm,398,Superior olivary complex,888,30,1.0,hindbrain,9435,0.003179650238473768
124,ms_01,4/21/20,M,Trauma,None,Control,750,"Posterolateral visual area, layer 1",VISpl1,425,Posterolateral visual area,193,4,1.0,cortical_plate,4462,0.0008964589870013447
125,ms_01,4/21/20,M,Trauma,None,Control,846,Dentate nucleus,DN,519,Cerebellar nuclei,1082,4,1.0,cerebellum,21468,0.0001863238308179616
126,ms_01,4/21/20,M,Trauma,None,Control,456,"Posterior auditory area, layer 6b",AUDpo6b,1027,Posterior auditory area,149,4,1.0,cortical_plate,270,0.014814814814814815
128,ms_01,4/21/20,M,Trauma,None,Control,321,Subgeniculate nucleus,SubG,1014,"Geniculate group, ventral thalamus",710,4,1.0,diencephalon,1726,0.002317497103128621
129,ms_01,4/21/20,M,Trauma,None,Control,587,Nucleus of Darkschewitsch,ND,795,Periaqueductal gray,835,4,1.0,midbrain,1935,0.0020671834625322996
131,ms_01,4/21/20,M,Trauma,None,Control,662,"Gustatory areas, layer 6b",GU6b,1057,Gustatory areas,113,4,1.0,cortical_plate,4219,0.0009480919649205973
132,ms_01,4/21/20,M,Trauma,None,Control,667,"Frontal pole, layer 2/3",FRP2/3,184,"Frontal pole, cerebral cortex",8,4,1.0,cortical_plate,7768,0.0005149330587023687
133,ms_01,4/21/20,M,Trauma,None,Control,209,Lateral vestibular nucleus,LAV,701,Vestibular nuclei,985,4,1.0,hindbrain,9057,0.00044164734459534063
134,ms_01,4/21/20,M,Trauma,None,Control,763,Vascular organ of the lamina terminalis,OV,141,Periventricular region,745,5,1.0,diencephalon,755,0.006622516556291391
135,ms_01,4/21/20,M,Trauma,None,Control,64,Anterodorsal nucleus,AD,239,Anterior group of the dorsal thalamus,679,5,1.0,diencephalon,10074,0.0004963271788763153
136,ms_01,4/21/20,M,Trauma,None,Control,2,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,345,"Primary somatosensory area, mouth",78,3,1.0,cortical_plate,7487,0.00040069453719780956
137,ms_01,4/21/20,M,Trauma,None,Control,741,"Ventral posteromedial nucleus of the thalamus, parvicellular part",VPMpc,709,Ventral posterior complex of the thalamus,650,5,1.0,diencephalon,8633,0.0005791729410401946
138,ms_01,4/21/20,M,Trauma,None,Control,483,Medial habenula,MH,958,Epithalamus,712,6,1.0,diencephalon,19039,0.0003151426020274174
139,ms_01,4/21/20,M,Trauma,None,Control,696,"Posterior auditory area, layer 1",AUDpo1,1027,Posterior auditory area,144,6,1.0,cortical_plate,1728,0.003472222222222222
140,ms_01,4/21/20,M,Trauma,None,Control,1020,Posterior complex of the thalamus,PO,138,Lateral group of the dorsal thalamus,669,6,1.0,diencephalon,75867,7.908576851595555e-05
141,ms_01,4/21/20,M,Trauma,None,Control,1039,Gracile nucleus,GR,720,Dorsal column nuclei,928,6,1.0,hindbrain,4320,0.001388888888888889
143,ms_01,4/21/20,M,Trauma,None,Control,67,Interstitial nucleus of Cajal,INC,795,Periaqueductal gray,834,7,1.0,midbrain,3513,0.0019925989183034445
144,ms_01,4/21/20,M,Trauma,None,Control,982,Fasciola cinerea,FC,1080,Hippocampal region,490,8,1.0,cortical_plate,4025,0.001987577639751553
145,ms_01,4/21/20,M,Trauma,None,Control,927,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,39,"Anterior cingulate area, dorsal part",231,8,1.0,cortical_plate,3005,0.0026622296173044926
146,ms_01,4/21/20,M,Trauma,None,Control,849,"Visceral area, layer 6b",VISC6b,677,Visceral area,120,8,1.0,cortical_plate,2660,0.0030075187969924814
147,ms_01,4/21/20,M,Trauma,None,Control,545,"Retrosplenial area, dorsal part, layer 4",RSPd4,879,"Retrosplenial area, dorsal part",328,9,1.0,cortical_plate,976,0.009221311475409836
148,ms_01,4/21/20,M,Trauma,None,Control,1069,Parapyramidal nucleus,PPY,370,"Medulla, motor related",981,9,1.0,hindbrain,2505,0.003592814371257485
149,ms_01,4/21/20,M,Trauma,None,Control,874,Parabigeminal nucleus,PBG,339,"Midbrain, sensory related",814,9,1.0,midbrain,5430,0.0016574585635359116
150,ms_01,4/21/20,M,Trauma,None,Control,197,Rostral linear nucleus raphe,RL,165,Midbrain raphe nuclei,863,6,1.0,midbrain,710,0.008450704225352112
151,ms_01,4/21/20,M,Trauma,None,Control,19,Induseum griseum,IG,1080,Hippocampal region,491,3,1.0,cortical_plate,1772,0.001693002257336343
152,ms_01,4/21/20,M,Trauma,None,Control,929,"Primary somatosensory area, nose, layer 6b",SSp-n6b,353,"Primary somatosensory area, nose",50,3,1.0,cortical_plate,5198,0.0005771450557906887
158,ms_01,4/21/20,M,Trauma,None,Control,222,Nucleus raphe obscurus,RO,379,"Medulla, behavioral state related",996,0,,hindbrain,969,0.0
161,ms_01,4/21/20,M,Trauma,None,Control,66,Lateral terminal nucleus of the accessory optic tract,LT,323,"Midbrain, motor related",853,0,,midbrain,382,0.0
162,ms_01,4/21/20,M,Trauma,None,Control,115,Trochlear nucleus,IV,323,"Midbrain, motor related",850,1,1.0,midbrain,466,0.002145922746781116
164,ms_01,4/21/20,M,Trauma,None,Control,35,Oculomotor nucleus,III,323,"Midbrain, motor related",847,1,1.0,midbrain,2303,0.0004342162396873643
167,ms_01,4/21/20,M,Trauma,None,Control,757,Ventral tegmental nucleus,VTN,323,"Midbrain, motor related",851,1,1.0,midbrain,2406,0.00041562759767248546
168,ms_01,4/21/20,M,Trauma,None,Control,859,Parasolitary nucleus,PAS,370,"Medulla, motor related",972,1,1.0,hindbrain,860,0.0011627906976744186
169,ms_01,4/21/20,M,Trauma,None,Control,332,Accessory supraoptic group,ASO,157,Periventricular zone,718,1,1.0,diencephalon,100,0.01
171,ms_01,4/21/20,M,Trauma,None,Control,366,Submedial nucleus of the thalamus,SMT,444,Medial group of the dorsal thalamus,689,2,1.0,diencephalon,11317,0.00017672528055138288
172,ms_01,4/21/20,M,Trauma,None,Control,132,"Prelimbic area, layer 6b",PL6b,972,Prelimbic area,244,2,1.0,cortical_plate,1333,0.0015003750937734434
173,ms_01,4/21/20,M,Trauma,None,Control,831,"Agranular insular area, dorsal part, layer 6b",AId6b,104,"Agranular insular area, dorsal part",284,2,1.0,cortical_plate,418,0.004784688995215311
