Animal,Notes,Exclude,DOB,Sex,Sugery1,Surgery2,Virus,NS,Trec2,Trec3,Loc1,Loc2,Fiber tips,BLA
51,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,L,NL,,,"A bit posterior, but ok",
52,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,NL,L,NL,,,"A bit posterior, but ok",
53,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,NL,L,,,,
54,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,NL,NL,L,,,,
55,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,NL,L,,,,
56,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,NL,NL,L,,,"One side a bit lateral, but ok",
57,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,L,NL,,,,
58,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,NL,L,NL,,,"A bit lateral, but ok",
59,,0,5/27/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,L,NL,,,,
60,,0,4/29/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,NL,L,NL,,,,
61,,0,4/29/25,M,8/13/25,NA - virus and optice fibers both done during surgery 1,EGFP,L,L,NL,,,,
